Temperature,Year,Statistics,Country,ISO3
21.8858,1901,Aug Average,Spain,ESP
21.1693,1902,Aug Average,Spain,ESP
21.8571,1903,Aug Average,Spain,ESP
21.9779,1904,Aug Average,Spain,ESP
21.1042,1905,Aug Average,Spain,ESP
22.7124,1906,Aug Average,Spain,ESP
21.9802,1907,Aug Average,Spain,ESP
21.3029,1908,Aug Average,Spain,ESP
21.441,1909,Aug Average,Spain,ESP
20.7123,1910,Aug Average,Spain,ESP
22.439,1911,Aug Average,Spain,ESP
19.5702,1912,Aug Average,Spain,ESP
20.8694,1913,Aug Average,Spain,ESP
20.8654,1914,Aug Average,Spain,ESP
22.0407,1915,Aug Average,Spain,ESP
21.8874,1916,Aug Average,Spain,ESP
20.4578,1917,Aug Average,Spain,ESP
21.9986,1918,Aug Average,Spain,ESP
22.4057,1919,Aug Average,Spain,ESP
20.4441,1920,Aug Average,Spain,ESP
21.2694,1921,Aug Average,Spain,ESP
21.4369,1922,Aug Average,Spain,ESP
22.8284,1923,Aug Average,Spain,ESP
20.7443,1924,Aug Average,Spain,ESP
21.2853,1925,Aug Average,Spain,ESP
22.6958,1926,Aug Average,Spain,ESP
21.1421,1927,Aug Average,Spain,ESP
22.3589,1928,Aug Average,Spain,ESP
21.3734,1929,Aug Average,Spain,ESP
22.2858,1930,Aug Average,Spain,ESP
20.9698,1931,Aug Average,Spain,ESP
22.0905,1932,Aug Average,Spain,ESP
23.921,1933,Aug Average,Spain,ESP
20.5461,1934,Aug Average,Spain,ESP
21.2502,1935,Aug Average,Spain,ESP
21.8956,1936,Aug Average,Spain,ESP
22.2238,1937,Aug Average,Spain,ESP
20.9571,1938,Aug Average,Spain,ESP
20.7492,1939,Aug Average,Spain,ESP
21.9314,1940,Aug Average,Spain,ESP
20.9016,1941,Aug Average,Spain,ESP
21.2648,1942,Aug Average,Spain,ESP
22.541,1943,Aug Average,Spain,ESP
22.2056,1944,Aug Average,Spain,ESP
20.8949,1945,Aug Average,Spain,ESP
21.8161,1946,Aug Average,Spain,ESP
22.2652,1947,Aug Average,Spain,ESP
21.7802,1948,Aug Average,Spain,ESP
23.0968,1949,Aug Average,Spain,ESP
21.8703,1950,Aug Average,Spain,ESP
20.7036,1951,Aug Average,Spain,ESP
21.4455,1952,Aug Average,Spain,ESP
