Temperature,Year,Statistics,Country,ISO3
18.9441,1901,Aug Average,Peru,PER
18.5509,1902,Aug Average,Peru,PER
18.1202,1903,Aug Average,Peru,PER
18.502,1904,Aug Average,Peru,PER
18.5021,1905,Aug Average,Peru,PER
18.3121,1906,Aug Average,Peru,PER
18.3662,1907,Aug Average,Peru,PER
18.0515,1908,Aug Average,Peru,PER
17.9344,1909,Aug Average,Peru,PER
17.3731,1910,Aug Average,Peru,PER
18.3845,1911,Aug Average,Peru,PER
17.7901,1912,Aug Average,Peru,PER
18.8059,1913,Aug Average,Peru,PER
18.7519,1914,Aug Average,Peru,PER
18.7905,1915,Aug Average,Peru,PER
16.9904,1916,Aug Average,Peru,PER
17.9542,1917,Aug Average,Peru,PER
20.5565,1918,Aug Average,Peru,PER
17.9504,1919,Aug Average,Peru,PER
17.6639,1920,Aug Average,Peru,PER
17.5178,1921,Aug Average,Peru,PER
18.3728,1922,Aug Average,Peru,PER
18.7366,1923,Aug Average,Peru,PER
18.4728,1924,Aug Average,Peru,PER
19.1921,1925,Aug Average,Peru,PER
18.9574,1926,Aug Average,Peru,PER
18.9441,1927,Aug Average,Peru,PER
18.9243,1928,Aug Average,Peru,PER
18.6736,1929,Aug Average,Peru,PER
18.2754,1930,Aug Average,Peru,PER
18.8393,1931,Aug Average,Peru,PER
18.9483,1932,Aug Average,Peru,PER
18.5812,1933,Aug Average,Peru,PER
18.3221,1934,Aug Average,Peru,PER
18.3189,1935,Aug Average,Peru,PER
18.5559,1936,Aug Average,Peru,PER
19.7537,1937,Aug Average,Peru,PER
19.0591,1938,Aug Average,Peru,PER
18.743,1939,Aug Average,Peru,PER
19.1758,1940,Aug Average,Peru,PER
19.985,1941,Aug Average,Peru,PER
20.1922,1942,Aug Average,Peru,PER
20.7544,1943,Aug Average,Peru,PER
20.3395,1944,Aug Average,Peru,PER
20.1342,1945,Aug Average,Peru,PER
18.7919,1946,Aug Average,Peru,PER
18.2936,1947,Aug Average,Peru,PER
18.7677,1948,Aug Average,Peru,PER
17.9253,1949,Aug Average,Peru,PER
18.0802,1950,Aug Average,Peru,PER
18.5914,1951,Aug Average,Peru,PER
18.035999999999998,1952,Aug Average,Peru,PER
18.9239,1953,Aug Average,Peru,PER
18.1547,1954,Aug Average,Peru,PER
17.9434,1955,Aug Average,Peru,PER
17.8181,1956,Aug Average,Peru,PER
18.6554,1957,Aug Average,Peru,PER
18.2466,1958,Aug Average,Peru,PER
18.6786,1959,Aug Average,Peru,PER
18.7572,1960,Aug Average,Peru,PER
19.4452,1961,Aug Average,Peru,PER
19.0201,1962,Aug Average,Peru,PER
19.9522,1963,Aug Average,Peru,PER
18.6932,1964,Aug Average,Peru,PER
19.4613,1965,Aug Average,Peru,PER
18.5953,1966,Aug Average,Peru,PER
18.5901,1967,Aug Average,Peru,PER
18.8049,1968,Aug Average,Peru,PER
18.9566,1969,Aug Average,Peru,PER
18.7977,1970,Aug Average,Peru,PER
18.3756,1971,Aug Average,Peru,PER
19.5777,1972,Aug Average,Peru,PER
17.9509,1973,Aug Average,Peru,PER
17.7038,1974,Aug Average,Peru,PER
18.1808,1975,Aug Average,Peru,PER
18.8041,1976,Aug Average,Peru,PER
18.3438,1977,Aug Average,Peru,PER
18.025,1978,Aug Average,Peru,PER
19.157,1979,Aug Average,Peru,PER
18.6275,1980,Aug Average,Peru,PER
18.3996,1981,Aug Average,Peru,PER
18.8821,1982,Aug Average,Peru,PER
19.7265,1983,Aug Average,Peru,PER
18.3305,1984,Aug Average,Peru,PER
18.3129,1985,Aug Average,Peru,PER
18.921,1986,Aug Average,Peru,PER
19.3339,1987,Aug Average,Peru,PER
18.8928,1988,Aug Average,Peru,PER
18.6482,1989,Aug Average,Peru,PER
18.6074,1990,Aug Average,Peru,PER
18.2142,1991,Aug Average,Peru,PER
18.7599,1992,Aug Average,Peru,PER
18.6992,1993,Aug Average,Peru,PER
18.8373,1994,Aug Average,Peru,PER
19.1695,1995,Aug Average,Peru,PER
18.5492,1996,Aug Average,Peru,PER
18.932000000000002,1997,Aug Average,Peru,PER
19.5898,1998,Aug Average,Peru,PER
18.5892,1999,Aug Average,Peru,PER
19.2618,2000,Aug Average,Peru,PER
18.7059,2001,Aug Average,Peru,PER
19.0339,2002,Aug Average,Peru,PER
17.5668,2003,Aug Average,Peru,PER
18.7517,2004,Aug Average,Peru,PER
19.2656,2005,Aug Average,Peru,PER
19.1862,2006,Aug Average,Peru,PER
18.2819,2007,Aug Average,Peru,PER
19.5166,2008,Aug Average,Peru,PER
19.3327,2009,Aug Average,Peru,PER
18.7294,2010,Aug Average,Peru,PER
19.021,2011,Aug Average,Peru,PER
19.1682,2012,Aug Average,Peru,PER
18.2343,2013,Aug Average,Peru,PER
18.9055,2014,Aug Average,Peru,PER
19.9304,2015,Aug Average,Peru,PER
19.6316,2016,Aug Average,Peru,PER
20.636,1901,Aug Average,Bolivia,BOL
